meter,from,to
5.713131344023675e+17,2022-03-02,2022-03-28
5.713131344023675e+17,2022-03-02,2022-03-28
5.713131152004234e+17,2021-12-30,2022-06-11
5.713131741151177e+17,2021-12-30,2022-06-11
5.713131611055899e+17,2021-12-30,2022-06-11
5.7131318542075834e+17,2021-12-30,2022-06-11
5.7131311440058714e+17,2022-05-20,2022-06-17
5.7131311440058714e+17,2022-05-20,2022-06-17
5.713131611702235e+17,2021-12-30,2022-06-30
5.7131312440122534e+17,2021-12-30,2022-06-30
5.71313175600475e+17,2021-12-30,2022-06-30
5.7131312440122534e+17,2021-12-30,2022-06-30
5.7131317561024486e+17,2021-12-30,2022-06-30
5.7131312440001485e+17,2021-12-30,2022-06-30
5.7131312440001485e+17,2021-12-30,2022-06-30
5.713131611702235e+17,2021-12-30,2021-12-31
