MålepunktsID;Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type;;;;
"	571313123200330480";19-04-2019 00:00;19-04-2019 01:00;0.08;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 01:00;19-04-2019 02:00;0.07;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 02:00;19-04-2019 03:00;0.06;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 03:00;19-04-2019 04:00;0.07;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 04:00;19-04-2019 05:00;0.05;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 05:00;19-04-2019 06:00;0.07;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 06:00;19-04-2019 07:00;0.06;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 07:00;19-04-2019 08:00;0.08;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 08:00;19-04-2019 09:00;0.23;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 09:00;19-04-2019 10:00;0.23;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 10:00;19-04-2019 11:00;0.07;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 11:00;19-04-2019 12:00;0.14;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 12:00;19-04-2019 13:00;0.08;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 13:00;19-04-2019 14:00;0.07;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 14:00;19-04-2019 15:00;0.08;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 15:00;19-04-2019 16:00;0.09;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 16:00;19-04-2019 17:00;1.07;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 17:00;19-04-2019 18:00;0.7;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 18:00;19-04-2019 19:00;1.07;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 19:00;19-04-2019 20:00;1.34;KWH;Målt;Tidsserie;;;;
"	571313123200330480";19-04-2019 20:00;19-04-2019 21:00;0.16;KWH;Målt;Tidsserie;;;;
